"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 04:33:05 UTC 2023","Sun Sep 24 04:33:39 UTC 2023","33992","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Hourly Rate","should filter freelancers by Hourly Rate",""
"failed","Sun Sep 24 04:40:17 UTC 2023","Sun Sep 24 04:40:44 UTC 2023","26315","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add education without period from","should add education without period from",""
"passed","Sun Sep 24 04:11:13 UTC 2023","Sun Sep 24 04:13:07 UTC 2023","114723","","My Profile: [FNN-669] Edit account details Positive","","My Profile: [FNN-669] Edit account details Positive","should edit employer account details with valid information","should edit employer account details with valid information",""
"passed","Sun Sep 24 04:45:50 UTC 2023","Sun Sep 24 04:45:59 UTC 2023","9023","","Freelancer search: [FNN-816] Create list Functionality","","Freelancer search: [FNN-816] Create list Functionality","should re-open original search","should re-open original search",""
"passed","Sun Sep 24 04:33:48 UTC 2023","Sun Sep 24 04:33:50 UTC 2023","2665","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without data","should subscribe as CR without data",""
"passed","Sun Sep 24 04:07:45 UTC 2023","Sun Sep 24 04:07:48 UTC 2023","2944","","Login: [FNN-574] Log in from the footer Negative","","Login: [FNN-574] Log in from the footer Negative","should log in without password","should log in without password",""
"passed","Sun Sep 24 04:46:07 UTC 2023","Sun Sep 24 04:46:16 UTC 2023","9287","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without Profile picture","should create profile without Profile picture",""
"passed","Sun Sep 24 04:40:05 UTC 2023","Sun Sep 24 04:40:11 UTC 2023","6338","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 without first name","should pass step 2 without first name",""
"broken","Sun Sep 24 04:43:12 UTC 2023","Sun Sep 24 04:46:07 UTC 2023","175038","","My Projects: [FNN-1058] Complete project Negative","","My Projects: [FNN-1058] Complete project Negative","""before each"" hook for [FNN-1058] Complete project Negative","""before each"" hook for [FNN-1058] Complete project Negative",""
"passed","Sun Sep 24 04:45:27 UTC 2023","Sun Sep 24 04:45:46 UTC 2023","19801","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile without required fields","should create profile without required fields",""
