"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 06:05:56 UTC 2024","Tue Apr 16 06:06:20 UTC 2024","24123","","Subscribe","","Subscribe","[FNN-578] Subscribe Positive","[FNN-578] Subscribe Positive",""
"passed","Tue Apr 16 07:04:40 UTC 2024","Tue Apr 16 07:06:22 UTC 2024","101289","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 without data","should pass step 2 without data",""
"broken","Tue Apr 16 07:12:20 UTC 2024","Tue Apr 16 07:16:43 UTC 2024","263084","","My Projects: [FNN-1058] Complete project Negative","","My Projects: [FNN-1058] Complete project Negative","""before each"" hook for [FNN-1058] Complete project Negative","""before each"" hook for [FNN-1058] Complete project Negative",""
"passed","Tue Apr 16 06:14:12 UTC 2024","Tue Apr 16 06:14:44 UTC 2024","32109","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Processing error decline","should upgrade account to Standard 1 month: Processing error decline",""
"failed","Tue Apr 16 07:12:57 UTC 2024","Tue Apr 16 07:14:50 UTC 2024","113218","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Sector","should filter freelancers by Sector",""
"passed","Tue Apr 16 06:40:49 UTC 2024","Tue Apr 16 06:41:00 UTC 2024","10140","","Freelancer search: [FNN-816] Create list Functionality","","Freelancer search: [FNN-816] Create list Functionality","should re-open original search","should re-open original search",""
"passed","Tue Apr 16 07:09:55 UTC 2024","Tue Apr 16 07:10:14 UTC 2024","19475","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without phone number","should post project without phone number",""
"passed","Tue Apr 16 06:07:57 UTC 2024","Tue Apr 16 06:08:00 UTC 2024","3030","","Login: [FNN-574] Log in from the Login page Negative","","Login: [FNN-574] Log in from the Login page Negative","should log in without email","should log in without email",""
"passed","Tue Apr 16 07:10:14 UTC 2024","Tue Apr 16 07:10:37 UTC 2024","23049","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project with taken phone number","should post project with taken phone number",""
"passed","Tue Apr 16 06:27:28 UTC 2024","Tue Apr 16 06:27:46 UTC 2024","17524","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password with short new password","should change password with short new password",""
